image_path,label
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_1.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_2.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_3.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_4.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_5.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_6.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_7.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_8.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_9.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_10.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_11.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_12.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_13.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_14.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_15.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_16.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_17.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_18.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_19.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_20.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_21.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_22.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_23.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_24.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_25.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_26.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_27.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_28.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_29.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_30.jpg,post-impressionism
D:\StyleRecognition\Style-recognition\ImageDataset\Post-Impressionism\Georges_Seurat\Georges_Seurat_31.jpg,post-impressionism
